CohortMonth,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
2023-01,100.0,2.1109976166155944,2.23016683690841,2.4514811031664965,2.400408580183861,2.29826353421859,2.1280217909431394,2.400408580183861,2.1790943139257744,2.1280217909431394,2.2642151855635,2.6217228464419478,9.68675519237317,3.575076608784474,2.826012938372489,2.1620701395982294,2.3663602315287706,2.1280217909431394,2.4685052774940415,2.281239359891045,2.6387470207694927,2.1280217909431394,2.19611848825332,2.093973442288049,16.87095675859721,4.8518896833503575,2.4855294518215865,2.0088525706503235,2.706843718079673,2.3323118828736806,0.6639427987742594
2023-02,100.0,2.051877661633759,2.4390243902439024,2.4390243902439024,2.0325203252032518,2.535811072396438,2.0905923344947737,2.0905923344947737,2.671312427409988,2.5745257452574526,2.380952380952381,1.9357336430507164,9.310878823073946,3.6585365853658534,2.148664343786295,2.1873790166473093,2.3422377080913668,1.9938056523422378,2.4583817266744097,2.516453735965931,2.497096399535424,2.4777390631049165,2.245451025938831,2.168021680216802,16.608594657375146,4.742547425474255,2.516453735965931,2.671312427409988,2.303523035230352,0.6194347657762291,
2023-03,100.0,2.5509300265721877,2.267493356953056,2.2852081488042515,2.3029229406554474,2.2143489813994686,2.1257750221434897,2.3029229406554474,2.3737821080602304,2.0017714791851193,2.2143489813994686,2.1966341895482726,10.54030115146147,3.596102745792737,2.4800708591674048,2.3560673162090344,2.3560673162090344,2.161204605845881,2.1434898139946856,2.3560673162090344,2.0372010628875112,2.1434898139946856,2.3560673162090344,2.0549158547387067,18.61824623560673,5.190434012400354,2.4800708591674048,2.320637732506643,0.70859167404783,,
2023-04,100.0,1.994408201304753,1.7707362534948743,2.7027027027027026,2.031686859273066,2.218080149114632,2.1435228331780056,2.2367194780987885,2.572227399813607,2.6654240447343898,2.01304753028891,1.994408201304753,9.934762348555452,3.3364398881640263,2.441752096924511,2.124883504193849,2.01304753028891,2.2739981360671018,2.60950605778192,2.050326188257223,2.3112767940354146,2.292637465051258,1.696178937558248,2.1621621621621623,17.01770736253495,4.995340167753961,2.4976700838769803,0.7828518173345759,,,
2023-05,100.0,2.10076222346161,2.509760178471835,1.970626510503811,2.1565346718720955,2.193716304145752,1.970626510503811,1.8590816136828405,2.2680795686930653,2.3982152816508644,2.4725785461981777,2.1565346718720955,10.15058561070831,3.4021193530395983,1.8218999814091839,2.10076222346161,1.970626510503811,1.8590816136828405,1.9148540620933259,2.286670384829894,2.509760178471835,2.137943855735267,1.7847183491355272,2.379624465514036,17.75422941067113,4.9079754601226995,0.594906116378509,,,,
2023-06,100.0,2.2556390977443606,1.7609814008705975,2.1962801741195093,2.0379897111199052,1.9786307874950535,1.701622477245746,2.374356944994064,1.9588444796201028,2.0775623268698062,2.1171349426197072,1.701622477245746,9.97229916897507,3.521962801741195,1.8599129402453503,2.2358527898694103,2.6711515631183222,1.7609814008705975,2.2754254056193113,1.9984170953700038,1.8005540166204987,2.2754254056193113,2.2754254056193113,1.9588444796201028,17.906608626830234,0.593589236248516,,,,,
2023-07,100.0,2.1107128634010355,2.309836718438869,1.812027080844285,2.2700119474313025,2.031063321385902,2.2301871764237355,1.9912385503783354,2.2899243329350853,2.0509757068896852,2.0111509358821187,1.911589008363202,10.593389088012744,2.807646356033453,2.070888092393469,1.8518518518518516,1.7722023098367186,2.369573874950219,1.971326164874552,2.1107128634010355,2.2301871764237355,2.2700119474313025,2.309836718438869,2.2700119474313025,0.6172839506172839,,,,,,
2023-08,100.0,2.2330491270807955,1.7661388550548112,2.0300446609825418,2.1721477872513195,2.1518473406414937,1.8473406414941127,1.8879415347137638,2.5375558262281768,2.050345107592367,1.7864393016646367,2.2330491270807955,10.373528217620787,2.9841656516443362,2.496954933008526,1.8473406414941127,2.050345107592367,2.3751522533495737,1.8879415347137638,2.1721477872513195,1.7458384084449858,2.0909460008120178,2.1315468940316684,0.6496142915144133,,,,,,,
2023-09,100.0,1.9774611949819265,1.934935147778014,1.9987242185838825,2.2751435254093133,1.722304911758452,2.019987242185839,1.6372528173506273,2.0625132893897513,2.253880501807357,1.9561981713799703,2.40272166702105,10.057410163725281,3.657240059536466,2.041250265787795,2.232617478205401,2.3176695726132257,1.8711460769721455,2.3176695726132257,2.338932596215182,2.019987242185839,2.1900914310014885,0.6591537316606422,,,,,,,,
2023-10,100.0,1.9640272896423405,1.7986355178829854,2.0260492040520983,1.7159396320033076,2.232788918751292,1.8193094893529045,2.170767004341534,2.108745089931776,2.1294190614016952,1.8399834608228238,1.9226793467025014,11.122596650816622,3.452553235476535,1.9847012611122599,2.232788918751292,1.9847012611122599,2.398180690510647,1.9226793467025014,2.067397146991937,1.8606574322927436,0.6408931155675005,,,,,,,,,
